            identifier             ,       coord                           ,  Mag V
HD 99104                           ,11 23 21.408 -64 57 16.92              ,5.39
* tet Ind A                        ,21 19 51.9894566760 -53 26 57.933870576,4.483
* bet Phe A                        ,01 06 05.095275 -46 43 06.59527        ,4
* bet Phe B                        ,01 06 05.047709 -46 43 06.25441        ,4.09
* tau Scl A                        ,01 36 08.498889 -29 54 26.43880        ,5.93
HD 216718A                         ,22 55 10.960869 -04 59 16.43270        ,5.92
* bet Mon A                        ,06 28 49.0704018024 -07 01 59.013827328,4.6
* alf Psc A                        ,02 02 02.8219762236 +02 45 49.579059841,4.11
* zet02 Cnc                        ,08 12 13.1995918248 +17 38 54.566664900,5.79
* 84 Cet A                         ,02 41 13.9993054560 -00 41 44.345510088,5.77
* 95 Cet A                         ,03 18 22.426895 -00 55 49.04287        ,5.48
* eta Aqr                          ,22 35 21.38126 -00 07 02.9888          ,4.03
HD 73752B                          ,08 39 07.904854 -22 39 42.67968        ,5.29
* f Eri A                          ,03 48 35.8740192312 -37 37 12.515849544,4.72
* D Cen A                          ,12 14 02.6974086336 -45 43 26.098652604,5.6
* gam Cen B                        ,12 41 31.015370 -48 57 34.47666        ,2.88
* lam Oct A                        ,21 50 54.5511063048 -82 43 08.057062992,5.46
HD 102878                          ,11 50 27.2770577376 -62 38 57.775776936,5.702
HD 25007                           ,04 10 02.737 +80 41 55.22              ,5.62
* bet01 Cyg B                      ,19 30 43.295 +27 57 34.62              ,5.16
TYC 3210-2003-1                    ,22 02 56.6607940128 +44 38 59.500574304,5.715
HD 201433A                         ,21 08 38.8897393680 +30 12 20.287905048,5.712
HD 47144A                          ,06 35 24.2182246680 -36 46 47.562325320,5.886
NAME * f Pup AB                    ,07 37 22.106404 -34 58 06.73542        ,4.83
* tet CrB A                        ,15 32 55.783080 +31 21 32.91517        ,4.3
TYC 7813-3604-1                    ,14 20 09.705 -43 03 31.85              ,5.663
* 52 Her A                         ,16 49 14.2170976896 +45 58 59.950140852,4.826
* tau Her                          ,16 19 44.43666 +46 18 48.1123          ,3.87
HD 142                             ,00 06 19.1753245111 -49 04 30.671249608,5.76
* iot UMa A                        ,08 59 12.4531549177 +48 02 30.562298470,3.13
* 33 Vel A                         ,08 29 04.7512054074 -47 55 44.121194091,5.535
* 80 Tau A                         ,04 30 08.5979657808 +15 38 16.199045124,5.666
* mu.01 Lup                        ,15 18 32.028034 -47 52 31.05151        ,4.945
* alf CMa                          ,06 45 08.91728 -16 42 58.0171          ,-1.46
HD 126862A                         ,14 31 16.4400875616 -67 43 01.929359064,5.903
HD 142514                          ,15 58 58.1476907376 -65 02 15.305826480,5.74
NAME HD 80951AB                    ,09 17 25.176 -74 53 39.57              ,5.32
* del Tuc                          ,22 27 19.9630746912 -64 57 58.896740736,4.49
* lam Cyg A                        ,20 47 24.5245258510 +36 29 26.552075010,4.76
NAME HD 79416 AB                   ,09 12 30.540 -43 36 47.76              ,5.98
* 35 Com A                         ,12 53 17.7583230432 +21 14 41.939516868,5.15
* ksi Sco                          ,16 04 22.134576 -11 22 23.17404        ,4.17
HD 53921A                          ,07 03 15.0980635944 -59 10 41.177785836,5.85
* 56 Per A                         ,04 24 37.4582741880 +33 57 35.290536300,5.795
* G Pup A                          ,06 25 43.6526245656 -48 10 36.837148800,5.87
HD 47500A                          ,06 37 13.838 -36 59 26.37              ,5.91
NAME HD 119361AB                   ,13 43 40.085 -42 04 03.09              ,5.97
HD 49933                           ,06 50 49.8309774552 -00 32 27.167495244,5.771
* kap02 Sgr A                      ,20 23 53.181095 -42 25 22.23558        ,5.93
* d Ser A                          ,18 27 12.5080661616 +00 11 46.008615408,5.32
* gam Cae A                        ,05 04 24.4021398552 -35 28 58.711349568,4.574
* gam Cen A                        ,12 41 31.033757 -48 57 35.68434        ,2.82
* 39 Leo                           ,10 17 14.5383472150 +23 06 22.384190401,5.82
HD 118261A                         ,13 37 12.399 -61 41 30.68              ,5.98
* tet Gru A                        ,23 06 52.7294539968 -43 31 13.281059532,4.401
* bet02 Tuc A                      ,00 31 33.468 -62 57 56.03              ,4.488
HD 142049A                         ,15 55 32.3650627704 -60 10 39.524481840,5.868
HD 59067                           ,07 27 51.661 -11 33 24.94              ,5.924
* i02 Aqr A                        ,23 46 00.9240188913 -18 40 41.998774106,5.616
* tet Sco B                        ,17 37 18.711641 -42 59 47.61955        ,5.4
* 47 Tau A                         ,04 13 56.3854450608 +09 15 49.767350436,4.95
ASAS J091626-6728.7                ,09 16 25.6654266816 -67 28 35.635202004,3.27
HD 106887A                         ,12 17 30.576 +28 56 13.87              ,5.7
* 73 Oph A                         ,18 09 33.883256 +03 59 35.86990        ,5.92
* rho Her                          ,17 23 40.9441257 +37 08 45.394049      ,4.17
* eps Car A                        ,08 22 30.833784 -59 30 34.13052        ,2.01
* eps Car B                        ,08 22 30.875904 -59 30 34.39944        ,3.85
* eps Dra                          ,19 48 10.3504589976 +70 16 04.549073664,3.91
* chi Aql A                        ,19 42 34.008606 +11 49 35.69404        ,5.66
* 2 Ser A                          ,15 01 48.920929 -00 08 25.07206        ,5.93
* omi Cep A                        ,23 18 37.4925456672 +68 06 41.197091436,4.87
HD 130458A                         ,14 53 13.571 -73 11 24.27              ,5.77
* 2 Sco A                          ,15 53 36.7184541744 -25 19 37.699413420,4.71
HD 145838                          ,16 14 22.3650996288 -33 00 39.917524788,5.918
* kap Cru                          ,12 53 48.9198156672 -60 22 34.469837436,5.94
HD 104933                          ,12 04 57.2145897744 -60 58 05.711037420,5.96
HD 116084                          ,13 22 16.2861588768 -52 10 58.631374776,5.91
HD 119250                          ,13 42 55.0013885112 -41 24 03.959054424,5.956
HD 114435                          ,13 11 08.8808922576 -42 13 58.441626948,5.772
HD 113778                          ,13 06 35.0821484352 -41 35 18.397334724,5.588
HD 119752                          ,13 45 36.8912239248 -26 06 57.636899388,5.795
HD 132604                          ,15 01 13.0968036456 -38 03 30.231845496,5.869
* 57 Hya                           ,14 47 57.5567960832 -26 38 46.211278056,5.764
HD 142883                          ,15 57 40.4636201088 -20 58 59.082560004,5.836
HD 135534                          ,15 16 23.0106600888 -22 23 57.891494904,5.506
HD 138413                          ,15 32 36.7010480784 -19 40 13.650366540,5.52
V* CS Vir                          ,14 18 38.2505609712 -18 42 57.465294264,5.9
HD 222060                          ,23 38 23.8862461056 -76 52 10.356660192,5.983
HD 175401                          ,19 00 03.5657770536 -66 39 13.018973184,5.971
HD 199623                          ,21 00 21.4829450832 -51 15 55.128267360,5.761
HD 224361                          ,23 57 19.9091390952 -62 57 23.750653860,5.943
HD 217842                          ,23 03 59.6388772752 -41 28 44.020852788,5.796
V* WX PsA                          ,22 59 35.7577834272 -29 27 44.322652908,5.503
HD 189245                          ,20 00 20.2493681318 -33 42 12.424573369,5.66
* 63 Sgr                           ,20 01 58.5993568704 -13 38 13.975050768,5.69
* alf01 Cru                        ,12 26 35.896 -63 05 56.73              ,1.28
* alf02 Cru                        ,12 26 36.442 -63 05 58.28              ,1.58
* 3 Cen B                          ,13 51 50.2001706768 -32 59 40.835351220,5.98
* del Ser B                        ,15 34 48.1751809872 +10 32 15.909991116,5.13
* 7 CrB B                          ,15 39 22.2441380040 +36 38 12.587158176,5.93
* 95 Her B                         ,18 01 29.9639756520 +21 35 43.404347652,5.1
* ups Car B                        ,09 47 06.7501580976 -65 04 22.302767316,5.99
* bet Cen B                        ,14 03 49.309880 -60 22 23.45882        ,3.95
* lam Cas B                        ,00 31 46.312200 +54 31 19.89984        ,5.63
* 36 And A                         ,00 54 58.1056364946 +23 37 41.928651572,6
* 32 Ori B                         ,05 30 47.1083998521 +05 56 54.123773836,5.76
* 12 Lyn B                         ,06 46 14.3631769848 +59 26 30.552258552,5.99
* bet Hya B                        ,11 52 54.545946 -33 54 28.71252        ,5.47
* bet Mus B                        ,12 46 16.7989488216 -68 06 29.159966376,4
* pi. Lup B                        ,15 05 07.237068 -47 03 03.92183        ,4.62
* 72 Peg B                         ,23 33 57.227081 +31 19 31.03408        ,5.95
* tet01 Eri                        ,02 58 15.6763576272 -40 18 16.839497196,3.18
* tet02 Eri                        ,02 58 16.4037194112 -40 18 16.906306500,4.11
* 32 Eri A                         ,03 54 17.5018067928 -02 57 17.039726676,4.7
* 118 Tau A                        ,05 29 16.4988263136 +25 09 00.765961848,5.84
* n01 Ori A                        ,05 31 14.5327002048 +03 17 31.679998404,5.74
HD 39070A                          ,05 49 36.5434132440 -14 29 01.199858352,5.58
* 12 Lyn A                         ,06 46 14.1311065992 +59 26 30.008159772,5.44
* mu. CMa A                        ,06 56 06.6459193752 -14 02 36.351243780,5.09
* 17 Crt A                         ,11 32 16.4044856112 -29 15 39.679672896,5.58
* 22 Crt A                         ,11 36 34.9458771840 -33 34 12.215924976,5.89
HD 131657A                         ,14 56 32.0550685320 -47 52 45.108234192,5.99
* pi. Lup A                        ,15 05 07.087230 -47 03 04.54154        ,4.58
* del Ser A                        ,15 34 48.1452516144 +10 32 19.880250288,4.14
* rho Oph A                        ,16 25 35.1185711280 -23 26 49.831640736,5.05
* 95 Her A                         ,18 01 30.4086813696 +21 35 44.812142376,4.83
HD 165259A                         ,18 12 34.0835848200 -73 40 20.769124296,5.91
HD 199955A                         ,20 58 30.031 +50 27 42.44              ,5.96
* 6 Cas A                          ,23 48 50.1711199872 +62 12 52.255524312,5.59
* phi Per                          ,01 43 39.6379209 +50 41 19.432832      ,4.06
HD 217050                          ,22 57 04.5020619144 +48 41 02.645623680,5.43
* phi02 Cet                        ,00 50 07.5889624710 -10 38 39.583852438,5.19
* alf Eri                          ,01 37 42.84548 -57 14 12.3101          ,0.46
HD 53974A                          ,07 06 40.766121 -11 17 38.45783        ,5.7
* 52 Ori A                         ,05 48 00.233086 +06 27 14.95523        ,5.95
HD 49662A                          ,06 48 57.737681 -15 08 41.01679        ,5.59
HD 6130                            ,01 03 37.0033959120 +61 04 29.361361008,6
HD 45871A                          ,06 28 39.233638 -32 22 16.62584        ,5.89
* 15 Hya A                         ,08 51 34.409148 -07 10 38.10408        ,5.73
* 41 Oph A                         ,17 16 36.687438 -00 26 43.11865        ,4.79
* 16 Vul A                         ,20 02 01.433377 +24 56 16.93407        ,5.79
* 78 Peg A                         ,23 43 59.4852779160 +29 21 41.240147040,4.96
2MASS J22472789+5807236            ,22 47 27.8875437408 +58 07 23.650778424,0.128
* eta Ori B                        ,05 24 28.617264 -02 23 49.69284        ,3.59
* eta Ori A                        ,05 24 28.7310201583 -02 23 49.311454080,3.594
* ome Leo A                        ,09 28 27.410508 +09 03 24.39004        ,5.62
* 49 Leo A                         ,10 35 02.1604140792 +08 39 01.552480344,5.79
HD 162587A                         ,17 53 23.465612 -34 53 42.54129        ,5.73
* ups Gru A                        ,23 06 53.624890 -38 53 32.24749        ,5.7
* 72 Peg A                         ,23 33 57.186809 +31 19 31.00312        ,5.51
* gam Sex A                        ,09 52 30.441356 -08 06 18.03588        ,5.43
HD 88842A                          ,10 13 27.995659 -51 45 20.84793        ,5.88
* bet Hya A                        ,11 52 54.520890 -33 54 29.28672        ,4.69
* iot Oct A                        ,12 54 58.800970 -85 07 24.10925        ,5.83
* kap Lep A                        ,05 13 13.8770294280 -12 56 28.652839152,4.44
* 57 Cnc A                         ,08 54 14.7320230008 +30 34 44.834400588,5.97
* eta PsA A                        ,22 00 50.2245369312 -28 27 13.458659364,5.72
* 86 Vir A                         ,13 45 56.318608 -12 25 35.52757        ,5.57
* eps Cha A                        ,11 59 37.582117 -78 13 18.54926        ,5.33
* B Vel A                          ,08 22 31.692993 -48 29 25.38925        ,5.17
HD 204018A                         ,21 27 01.6230281544 -42 32 52.556039304,5.58
HD 186957A                         ,19 50 44.800965 -59 11 37.20154        ,5.61
HD 103079A                         ,11 51 51.2242408032 -65 12 21.276443520,4.99
